GeneID,Gene,Description,CON,H9,H18
140528,epd ,ependymin,19.29,1.35,0.58
30363,fzd4 ,frizzled class receptor 4,9.09,1.14,0.65
30418,nr2f1a ,"nuclear receptor subfamily 2, group F, member 1a",9.97,1.28,0.75
30578,ldb2b ,LIM domain binding 2b,2.02,0.55,0.27
58127,runx3 ,runt-related transcription factor 3,1.34,0.21,0.06
58129,fgfr3 ,fibroblast growth factor receptor 3,5.61,0.85,0.41
114549,ache ,acetylcholinesterase,67.60,3.74,1.92
246226,ptgs1 ,prostaglandin-endoperoxide synthase 1,2.00,0.58,0.30
321314,lmbr1l ,limb development membrane protein 1-like,3.80,0.81,0.15
321892,ckmt1 ,"creatine kinase, mitochondrial 1",4.84,0.75,0.26
323011,lgi1a ,"leucine-rich, glioma inactivated 1a",3.74,0.35,0.57
323573,arl4d ,ADP-ribosylation factor-like 4D,5.73,0.83,0.38
325356,rcan3 ,regulator of calcineurin 3,7.04,0.35,0.48
327541,zgc:66479 ,zgc:66479,19.86,1.57,1.04
327599,chp2 ,calcineurin-like EF-hand protein 2,4.63,0.40,0.45
335901,klf15 ,Kruppel-like factor 15,4.07,0.49,0.25
336478,si:dkey-92i15.4 ,si:dkey-92i15.4,2.29,0.47,0.37
337596,rhbg ,"Rh family, B glycoprotein (gene/pseudogene)",1.38,0.59,0.14
337724,bglapl ,"bone gamma-carboxyglutamate (gla) protein, like",5.37,1.33,0.13
359840,atp6v1b2 ,"ATPase, H+ transporting, lysosomal, V1 subunit B2",5.98,0.57,0.50
368214,ypel3 ,yippee-like 3,2.73,0.49,0.13
368405,znf385b ,zinc finger protein 385B,6.91,0.68,0.60
368438,cntfr ,ciliary neurotrophic factor receptor,1.76,0.31,0.14
386643,pik3ip1 ,phosphoinositide-3-kinase interacting protein 1,12.01,1.37,0.53
393145,tmem38b ,transmembrane protein 38B,3.51,0.46,0.36
393367,coro6 ,coronin 6,15.72,0.74,0.82
393385,slc44a4 ,"solute carrier family 44, member 4",3.89,1.12,0.27
393682,lin7a ,lin-7 homolog A (C. elegans),8.33,0.61,0.46
393762,si:ch73-141c7.1 ,si:ch73-141c7.1,13.63,2.21,0.24
393825,tppp3 ,tubulin polymerization-promoting protein family member 3,11.96,0.75,1.02
393996,rnf11a ,ring finger protein 11a,4.21,0.77,0.50
394005,prkg1a ,"protein kinase, cGMP-dependent, type Ia",8.58,1.19,0.65
394091,sh3gl2 ,SH3-domain GRB2-like 2,2.08,0.38,0.34
399650,sb:cb930 ,si:dkey-85k7.7,4.88,0.60,0.33
402903,raly ,RALY heterogeneous nuclear ribonucleoprotein,9.81,0.95,0.17
404208,myf6 ,myogenic factor 6,19.86,2.23,0.56
405819,agmo ,alkylglycerol monooxygenase,2.73,0.08,0.36
405890,esrrga ,estrogen-related receptor gamma a,27.44,1.94,1.18
406252,dusp19b ,dual specificity phosphatase 19b,9.40,1.16,0.56
